OrderDate,Region,Category,ProductID,UnitsSold,UnitPrice,CustomerSatisfaction,Revenue
2025-01-01,South,Toys,P149,17,197.6,2.0,3359.2
2025-01-01,West,Electronics,P127,7,284.71,5.0,1992.97
2025-01-01,North,Toys,P118,27,16.5,5.0,445.5
2025-01-01,East,Toys,P144,7,14.78,3.0,103.46
2025-01-01,West,Furniture,P102,36,378.99,1.0,13643.64
2025-01-01,North,Toys,P101,30,419.67,2.0,12590.1
2025-01-01,West,Furniture,P135,27,325.3,3.0,8783.1
2025-01-01,South,Apparel,P129,5,296.72,3.0,1483.6
2025-01-01,East,Furniture,P128,36,433.74,2.0,15614.64
2025-01-01,South,Toys,P103,10,420.39,4.0,4203.9
2025-01-01,South,Groceries,P121,11,193.46,3.0,2128.06
2025-01-01,South,Groceries,P116,32,73.31,,2345.92
2025-01-01,East,Electronics,P149,9,465.18,4.0,4186.62
2025-01-01,West,Groceries,P126,47,252.88,4.0,11885.36
2025-01-01,South,Furniture,P130,33,218.38,,7206.54
2025-01-01,South,Toys,P118,42,98.29,5.0,4128.18
2025-01-01,West,Groceries,P134,32,479.56,,15345.92
2025-01-01,North,Groceries,P116,12,160.8,3.0,1929.6
2025-01-01,East,Groceries,P146,28,269.77,2.0,7553.56
2025-01-01,West,Toys,P146,49,375.67,3.0,18407.83
2025-01-01,East,Furniture,P137,5,215.26,4.0,1076.3
2025-01-01,East,Electronics,P132,29,101.77,3.0,2951.33
2025-01-01,West,Groceries,P119,10,50.91,4.0,509.1
2025-01-01,North,Apparel,P149,36,447.05,3.0,16093.8
2025-01-01,East,Electronics,P105,12,338.99,1.0,4067.88
2025-01-01,North,Toys,P136,41,354.37,4.0,14529.17
2025-02-01,North,Apparel,P107,43,105.25,4.0,4525.75
2025-02-01,West,Furniture,P106,18,31.14,1.0,560.52
2025-02-01,South,Groceries,P121,27,235.55,5.0,6359.85
2025-02-01,East,Toys,P142,41,183.58,2.0,7526.78
2025-02-01,North,Groceries,P112,1,291.59,1.0,291.59
2025-02-01,North,Groceries,P109,47,473.03,2.0,22232.41
2025-02-01,East,Groceries,P123,38,468.29,2.0,17795.02
2025-02-01,West,Furniture,P105,12,464.11,2.0,5569.32
2025-02-01,West,Apparel,P117,13,284.23,2.0,3694.99
2025-02-01,East,Toys,P120,16,5.53,2.0,88.48
2025-02-01,North,Furniture,P132,2,462.32,3.0,924.64
2025-02-01,East,Electronics,P145,31,136.08,5.0,4218.48
2025-02-01,North,Toys,P136,21,383.51,5.0,8053.71
2025-02-01,East,Apparel,P117,19,396.42,5.0,7531.98
2025-02-01,South,Groceries,P127,8,187.11,5.0,1496.88
2025-02-01,East,Apparel,P136,10,202.26,4.0,2022.6
2025-02-01,South,Apparel,P145,10,100.19,4.0,1001.9
2025-02-01,West,Groceries,P140,21,430.84,2.0,9047.64
2025-02-01,East,Apparel,P132,35,52.12,1.0,1824.2
2025-02-01,East,Electronics,P149,48,88.01,2.0,4224.48
2025-02-01,North,Furniture,P121,19,370.21,1.0,7033.99
2025-02-01,North,Groceries,P147,10,329.76,2.0,3297.6
2025-02-01,North,Apparel,P122,30,201.77,2.0,6053.1
2025-02-01,North,Electronics,P105,42,426.93,3.0,17931.06
2025-02-01,West,Electronics,P128,9,138.82,3.0,1249.38
2025-02-01,South,Apparel,P107,29,410.81,1.0,11913.49
2025-02-01,West,Toys,P120,17,200.27,4.0,3404.59
2025-02-01,West,Furniture,P119,26,443.0,2.0,11518.0
2025-02-01,South,Electronics,P136,32,198.79,1.0,6361.28
2025-02-01,West,Toys,P100,15,35.72,4.0,535.8
2025-02-01,East,Apparel,P114,41,233.55,1.0,9575.55
2025-02-01,North,Apparel,P106,8,461.32,2.0,3690.56
2025-02-01,South,Electronics,P149,16,63.61,1.0,1017.76
2025-02-01,South,Furniture,P125,3,44.96,3.0,134.88
2025-02-01,West,Apparel,P140,36,50.4,3.0,1814.4
2025-02-01,West,Toys,P132,5,256.92,2.0,1284.6
2025-02-01,North,Groceries,P117,25,423.77,5.0,10594.25
2025-02-01,East,Furniture,P135,39,25.0,5.0,975.0
2025-02-01,West,Toys,P100,15,35.72,4.0,535.8
2025-02-01,West,Furniture,P131,17,63.86,1.0,1085.62
2025-02-01,North,Toys,P106,26,262.63,4.0,6828.38
2025-02-01,East,Toys,P108,33,346.61,4.0,11438.13
2025-02-01,South,Toys,P109,7,233.24,1.0,1632.68
2025-02-01,North,Electronics,P139,46,27.33,5.0,1257.18
2025-03-01,North,Furniture,P111,15,203.63,2.0,3054.45
2025-03-01,West,Furniture,P108,26,265.4,2.0,6900.4
2025-03-01,East,Apparel,P117,23,271.78,2.0,6250.94
2025-03-01,North,Groceries,P123,43,324.91,1.0,13971.13
2025-03-01,West,Furniture,P112,7,311.26,1.0,2178.82
2025-03-01,North,Groceries,P147,19,401.69,3.0,7632.11
2025-03-01,North,Apparel,P118,21,138.96,5.0,2918.16
2025-03-01,East,Toys,P122,46,495.94,1.0,22813.24
2025-03-01,North,Apparel,P101,9,171.38,5.0,1542.42
2025-03-01,East,Electronics,P102,23,62.09,4.0,1428.07
2025-03-01,North,Furniture,P100,5,54.42,5.0,272.1
2025-03-01,South,Groceries,P127,21,247.46,5.0,5196.66
2025-03-01,West,Apparel,P101,1,69.03,2.0,69.03
2025-03-01,West,Furniture,P126,18,189.66,5.0,3413.88
2025-03-01,South,Electronics,P125,7,439.99,5.0,3079.93
2025-03-01,North,Toys,P138,24,72.92,5.0,1750.08
2025-03-01,East,Groceries,P147,49,458.29,5.0,22456.21
2025-03-01,South,Furniture,P141,22,419.55,,9230.1
2025-03-01,West,Apparel,P148,1,211.72,5.0,211.72
2025-03-01,South,Furniture,P114,17,24.08,2.0,409.36
2025-03-01,North,Groceries,P138,48,439.68,3.0,21104.64
2025-03-01,North,Electronics,P121,28,307.06,5.0,8597.68
2025-03-01,South,Groceries,P131,44,361.29,4.0,15896.76
2025-03-01,West,Groceries,P129,49,34.45,5.0,1688.05
2025-03-01,West,Electronics,P141,37,394.79,5.0,14607.23
2025-03-01,West,Furniture,P146,23,113.33,4.0,2606.59
2025-03-01,South,Apparel,P133,37,496.8,1.0,18381.6
2025-03-01,North,Furniture,P108,12,364.46,4.0,4373.52
2025-04-01,South,Toys,P132,41,270.56,4.0,11092.96
2025-04-01,West,Electronics,P112,42,165.35,2.0,6944.7
2025-04-01,West,Toys,P125,45,445.68,4.0,20055.6
2025-04-01,North,Furniture,P103,8,311.69,2.0,2493.52
2025-04-01,West,Electronics,P142,23,416.9,4.0,9588.7
2025-04-01,South,Groceries,P129,39,217.37,1.0,8477.43
2025-04-01,East,Furniture,P138,11,92.19,2.0,1014.09
2025-04-01,East,Toys,P135,40,162.57,2.0,6502.8
2025-04-01,South,Apparel,P110,17,81.21,1.0,1380.57
2025-04-01,South,Toys,P120,3,485.59,3.0,1456.77
2025-04-01,South,Electronics,P130,19,182.54,3.0,3468.26
2025-04-01,North,Furniture,P101,44,440.14,3.0,19366.16
2025-04-01,West,Electronics,P105,3,29.48,2.0,88.44
2025-04-01,North,Electronics,P108,5,133.79,4.0,668.95
2025-04-01,West,Toys,P120,20,250.73,,182505.92
2025-04-01,East,Electronics,P110,12,380.17,2.0,4562.04
2025-04-01,North,Electronics,P115,20,488.18,1.0,9763.6
2025-04-01,North,Groceries,P115,6,263.35,3.0,1580.1
2025-04-01,North,Electronics,P137,28,299.16,3.0,8376.48
2025-04-01,North,Furniture,P113,39,7.29,5.0,284.31
2025-04-01,East,Furniture,P141,13,406.43,3.0,5283.59
2025-04-01,South,Apparel,P145,6,305.57,3.0,1833.42
2025-04-01,South,Toys,P108,2,31.03,5.0,62.06
2025-04-01,South,Toys,P106,15,300.71,5.0,4510.65
2025-04-01,South,Groceries,P126,8,274.55,4.0,2196.4
2025-04-01,East,Groceries,P149,14,201.63,2.0,2822.82
2025-04-01,West,Toys,P148,14,285.89,5.0,4002.46
2025-04-01,South,Apparel,P148,37,362.94,,13428.78
2025-04-01,West,Toys,P139,37,328.5,3.0,12154.5
2025-04-01,South,Furniture,P143,35,163.75,2.0,5731.25
2025-04-01,South,Furniture,P137,20,382.48,1.0,7649.6
2025-04-01,East,Apparel,P141,13,331.08,2.0,4304.04
2025-04-01,East,Toys,P103,20,81.0,3.0,1620.0
2025-04-01,North,Apparel,P102,4,145.78,1.0,583.12
2025-04-01,North,Furniture,P138,9,222.82,2.0,2005.38
2025-04-01,West,Furniture,P116,25,412.45,2.0,10311.25
2025-04-01,West,Apparel,P145,34,207.94,3.0,7069.96
2025-04-01,North,Groceries,P117,23,74.11,2.0,1704.53
2025-05-01,East,Apparel,P143,2,411.51,1.0,823.02
2025-05-01,South,Furniture,P142,15,63.16,4.0,947.4
2025-05-01,South,Toys,P118,4,410.5,4.0,1642.0
2025-05-01,West,Furniture,P117,38,489.42,4.0,18597.96
2025-05-01,East,Toys,P147,27,106.67,4.0,2880.09
2025-05-01,South,Electronics,P102,3,141.2,1.0,423.6
2025-05-01,South,Apparel,P112,10,131.28,5.0,182505.92
2025-05-01,West,Furniture,P114,26,163.64,1.0,4254.64
2025-05-01,North,Furniture,P117,34,344.29,1.0,11705.86
2025-05-01,South,Apparel,P143,30,333.14,3.0,9994.2
2025-05-01,East,Apparel,P100,27,111.2,2.0,3002.4
2025-05-01,North,Furniture,P112,1,412.45,5.0,412.45
2025-05-01,East,Groceries,P143,14,487.92,5.0,6830.88
2025-05-01,North,Electronics,P143,20,132.62,5.0,2652.4
2025-05-01,North,Groceries,P138,1,30.45,5.0,30.45
2025-05-01,West,Groceries,P146,48,114.29,2.0,5485.92
2025-05-01,West,Furniture,P137,5,495.24,4.0,2476.2
2025-05-01,East,Electronics,P131,24,250.81,3.0,6019.44
2025-05-01,South,Toys,P100,3,285.38,4.0,856.14
2025-05-01,North,Electronics,P126,29,474.03,2.0,13746.87
2025-05-01,South,Electronics,P120,41,52.92,4.0,2169.72
2025-05-01,South,Groceries,P122,34,205.47,3.0,6985.98
2025-05-01,West,Toys,P123,17,405.44,2.0,6892.48
2025-05-01,South,Apparel,P121,1,376.06,5.0,376.06
2025-05-01,West,Electronics,P128,3,318.95,2.0,956.85
2025-05-01,South,Electronics,P148,24,148.1,3.0,3554.4
2025-05-01,North,Furniture,P113,30,88.16,1.0,2644.8
2025-06-01,North,Groceries,P103,16,80.4,1.0,1286.4
2025-06-01,South,Electronics,P133,42,318.41,2.0,13373.22
2025-06-01,West,Groceries,P113,25,195.76,4.0,4894.0
2025-06-01,West,Toys,P116,19,111.09,4.0,2110.71
2025-06-01,West,Groceries,P103,23,155.38,,3573.74
2025-06-01,North,Toys,P134,8,481.97,4.0,3855.76
2025-06-01,East,Groceries,P147,43,87.2,2.0,3749.6
2025-06-01,East,Apparel,P139,23,286.13,3.0,6580.99
2025-06-01,North,Apparel,P134,31,463.75,2.0,14376.25
2025-06-01,North,Electronics,P131,13,207.29,5.0,2694.77
2025-06-01,South,Apparel,P126,12,100.64,1.0,1207.68
2025-06-01,South,Furniture,P125,6,163.94,4.0,983.64
2025-06-01,North,Toys,P124,21,68.39,3.0,1436.19
2025-06-01,East,Groceries,P116,6,89.32,5.0,535.92
2025-06-01,West,Electronics,P101,13,58.16,1.0,756.08
2025-06-01,South,Groceries,P137,15,214.25,1.0,3213.75
2025-06-01,North,Furniture,P134,21,110.98,1.0,2330.58
2025-06-01,West,Apparel,P130,18,111.51,4.0,2007.18
2025-06-01,North,Toys,P121,38,110.08,1.0,4183.04
2025-06-01,North,Toys,P118,7,339.94,3.0,2379.58
2025-06-01,West,Electronics,P104,7,18.16,4.0,127.12
2025-06-01,West,Furniture,P135,12,412.44,4.0,4949.28
2025-06-01,West,Furniture,P102,23,415.13,5.0,9547.99
2025-06-01,North,Groceries,P104,7,317.98,1.0,2225.86
2025-06-01,West,Apparel,P139,11,337.77,1.0,3715.47
2025-06-01,South,Toys,P123,36,92.3,3.0,3322.8
2025-06-01,West,Electronics,P120,5,333.41,2.0,1667.05
2025-06-01,South,Toys,P113,36,466.79,2.0,16804.44
2025-06-01,North,Apparel,P108,12,499.31,1.0,5991.72
2025-06-01,West,Furniture,P140,38,123.91,1.0,4708.58
2025-06-01,South,Furniture,P104,31,269.25,2.0,8346.75
2025-06-01,South,Furniture,P134,36,91.8,4.0,3304.8
2025-06-01,North,Groceries,P131,1,456.77,2.0,456.77
2025-06-01,South,Groceries,P125,49,164.5,3.0,8060.5
2025-06-01,North,Electronics,P119,36,203.03,2.0,7309.08
2025-06-01,North,Groceries,P104,8,145.34,,1162.72
2025-06-01,East,Apparel,P114,29,77.7,4.0,2253.3
2025-06-01,North,Groceries,P103,30,73.63,1.0,2208.9
2025-06-01,North,Toys,P122,14,224.75,5.0,3146.5
2025-06-01,South,Apparel,P119,49,227.57,4.0,11150.93
2025-06-01,North,Toys,P130,29,283.1,5.0,8209.9
2025-06-01,North,Furniture,P129,7,204.55,1.0,1431.85
2025-06-01,West,Furniture,P132,2,47.56,5.0,95.12
2025-06-01,North,Groceries,P103,16,80.4,1.0,1286.4
2025-06-01,North,Groceries,P104,7,317.98,1.0,2225.86
2025-06-01,East,Toys,P146,17,102.92,5.0,1749.64
2025-06-01,North,Toys,P125,7,376.38,3.0,2634.66
2025-07-01,North,Apparel,P116,39,340.66,4.0,13285.74
2025-07-01,East,Electronics,P115,20,404.06,3.0,8081.2
2025-07-01,North,Groceries,P112,44,311.74,3.0,13716.56
2025-07-01,West,Apparel,P143,2,284.37,3.0,568.74
2025-07-01,South,Toys,P114,32,490.51,3.0,15696.32
2025-07-01,East,Electronics,P125,39,278.33,1.0,10854.87
2025-07-01,East,Groceries,P128,22,328.08,1.0,7217.76
2025-07-01,East,Apparel,P130,39,499.71,1.0,19488.69
2025-07-01,East,Groceries,P110,39,331.68,3.0,12935.52
2025-07-01,South,Furniture,P115,44,39.47,3.0,1736.68
2025-07-01,West,Apparel,P144,7,176.14,5.0,1232.98
2025-07-01,East,Electronics,P138,4,228.27,2.0,913.08
2025-07-01,South,Groceries,P120,13,446.78,3.0,5808.14
2025-07-01,East,Electronics,P128,20,370.56,4.0,7411.2
2025-07-01,South,Apparel,P104,17,414.26,4.0,7042.42
2025-07-01,West,Electronics,P128,46,317.94,5.0,14625.24
2025-07-01,West,Apparel,P107,8,336.13,2.0,2689.04
2025-07-01,North,Groceries,P131,45,260.65,4.0,11729.25
